TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL ,MARCA
,VETSCAN ROTOR COMPREHENSIVE (LILA),ABAROTQS12,ABAX,UNIDAD,Si,,VETSCAN ROTOR COMPREHENSIVE (LILA),0.000,0.000,,,Lote,si,30,15,1,Almacenable,42172017,H87,7,,0.05,,,,775.862100,UNIDAD,64.000471,,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,VETSCAN ROTOR KIDNEY,ABAROTKID,ABAX,UNIDAD,Si,,VETSCAN ROTOR KIDNEY,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42172017,H87,7,,0.05,,,,775.862100,UNIDAD,312.393024,,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,VETSCAN ROTOR MAMALIAN LIVER,ABAROTMAM,ABAX,UNIDAD,Si,,VETSCAN ROTOR MAMALIAN LIVER,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42172017,H87,7,,0.05,,,,775.862100,UNIDAD,368.185175,,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,VETSCAN ROTOR T4,ABAROTT4,ABAX,UNIDAD,Si,,VETSCAN ROTOR T4,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42172017,H87,7,,0.05,,,,775.862100,UNIDAD,"2,005.555556",,,16,,,ABAXIS,,,LABORATORIO,SIN CONTROL,ABAXIS
,"ADVANCE ATOPIC MEDIUM/MAXI 3KG
",ADVATOP3,ADV,UNIDAD,Si,8410650170695,"ADVANCE ATOPIC MEDIUM/MAXI 3KG
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121801,H87,7,,0.05,,,,732.758600,UNIDAD,439.828287,,,16,,,ADVANCE,,,ALIMENTOS,SIN CONTROL,ADVANCE
,"ADVANCE ATOPIC MINI 1.5KG
",ADVATOP15,ADV,UNIDAD,Si,8410650221212,"ADVANCE ATOPIC MINI 1.5KG
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121801,H87,7,,0.05,,,,409.482800,UNIDAD,245.781789,,,16,,,ADVANCE,,,ALIMENTOS,SIN CONTROL,ADVANCE
,"ADVANCE DIETS HYPOLLERGENIC 2.5KG
",ADVHYPO25,ADV,UNIDAD,Si,8410650152363,"ADVANCE DIETS HYPOLLERGENIC 2.5KG
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121801,H87,7,,0.05,,,,702.586200,UNIDAD,425.317887,,,16,,,ADVANCE,,,ALIMENTOS,SIN CONTROL,ADVANCE
,ADVANCE MINI SENSITIVE SALMON Y RICE 1.5,ADVMINSENS15,ADV,UNIDAD,Si,8410650235240,ADVANCE MINI SENSITIVE SALMON Y RICE 1.5,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121801,H87,7,,0.05,,,,340.517200,UNIDAD,187.710129,,,16,,,ADVANCE,,,ALIMENTOS,SIN CONTROL,ADVANCE
,ADVANCE MINI SENSITIVE SALMON Y RICE 3KG,ADVMINSENS3,ADV,UNIDAD,Si,8410650215150,ADVANCE MINI SENSITIVE SALMON Y RICE 3KG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121801,H87,7,,0.05,,,,629.310300,UNIDAD,409.445043,,,16,,,ADVANCE,,,ALIMENTOS,SIN CONTROL,ADVANCE
,"ADVANCE RENAL GATO 1.5KG
",ADVRENCAT15,ADV,UNIDAD,Si,8410650152448,"ADVANCE RENAL GATO 1.5KG
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121801,H87,7,,0.05,,,,500.000000,UNIDAD,300.120000,,,16,,,ADVANCE,,,ALIMENTOS,SIN CONTROL,ADVANCE
,"ADVANCE SENSITIVE SALMON Y RICE 3KG
",ADVSENS3,ADV,UNIDAD,Si,8410650150710,"ADVANCE SENSITIVE SALMON Y RICE 3KG
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121801,H87,7,,0.05,,,,629.310300,UNIDAD,346.907328,,,16,,,ADVANCE,,,ALIMENTOS,SIN CONTROL,ADVANCE
,AMINOACIDOS 30ML GOTERO,ALEAM30,ALEBE,UNIDAD,Si,,AMINOACIDOS 30ML GOTERO,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51191905,H87,7,,0.05,,,,120.000000,UNIDAD,75.001116,,,0,,,,,,MEDICAMENTOS,SIN CONTROL,
,"BARKBONE 
",COSBAR,ALIM,UNIDAD,Si,029695361142,"BARKBONE 
",0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,10121806,H87,7,,0.05,,,,198.275862,UNIDAD,72.997528,,,16,,,,,,ALIMENTOS,SIN CONTROL,
,BUSY BEEGIN PREMIOS,BUSYPREM,ALIM,UNIDAD,Si,7501072212139,BUSY BEEGIN PREMIOS,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121806,H87,7,,0.05,,,,43.965510,UNIDAD,18.535580,,,16,,,PURINA,,,ALIMENTOS,SIN CONTROL,PURINA
,CARNAZA DE COLORES CHICA,CARNCOLOCH,ALIM,UNIDAD,Si,7503023241656,CARNAZA DE COLORES CHICA,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121806,H87,7,,0.05,,,,4.310300,UNIDAD,0.000000,,,16,,,GENERICO,,,ALIMENTOS,SIN CONTROL,GENERICO
,KABOBS BROCHETAS,BARKEB,ALIM,UNIDAD,Si,7503012967499,KABOBS BROCHETAS,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121806,H87,7,,0.05,,,,8.620689,UNIDAD,4.345194,,,16,,,BARKY'S,,,ALIMENTOS,SIN CONTROL,BARKY'S
,PALITOS DE CARNAZA (PZA),PETSELCPALI,ALIM,UNIDAD,Si,078742268361,PALITOS DE CARNAZA (PZA),0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121806,H87,7,,0.05,,,,1.724137,UNIDAD,0.756501,,,16,,,MEMBERS MARK,,,ALIMENTOS,SIN CONTROL,MEMBERS MARK
,SUPER CRIA MASCOTA GATOS 450 g,CSFSUPGAT8,ALIM,UNIDAD,Si,7501539845214,SUPER CRIA MASCOTA GATOS 450 g,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121803,H87,7,,0.05,,,,275.862069,UNIDAD,275.860000,,,16,,,SUPERCRIA,,,ALIMENTOS,SIN CONTROL,SUPERCRIA
,SUPER CRIA MASCOTA PERROS 450 g,CSFSUPCRIPERR4,ALIM,UNIDAD,Si,7501539815019,SUPER CRIA MASCOTA PERROS 450 g,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10121803,H87,7,,0.05,,,,150.000000,UNIDAD,143.950123,,,16,,,SUPERCRIA,,,ALIMENTOS,SIN CONTROL,SUPERCRIA
,CINETIC FLEX 3%,ALPCIN,ALPHA,UNIDAD,Si,,CINETIC FLEX 3%,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121604,H87,7,,0.05,,,,640.000000,UNIDAD,354.690000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,CINETIC FLEX 6%,ALPCIN6,ALPHA,UNIDAD,Si,,CINETIC FLEX 6%,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121604,H87,7,,0.05,,,,"2,560.000000",UNIDAD,"1,145.250000",,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,CLINDAMICINA 150 MG 100 TABLETAS,ALPCLINDA150,ALPHA,UNIDAD,Si,,CLINDAMICINA 150 MG 100 TABLETAS,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51102600,H87,7,,0.05,,,,"1,444.000000",UNIDAD,808.650000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,CLINDAMICINA 50 MG 100 TABLETAS,ALPCLINDA50,ALPHA,UNIDAD,Si,,CLINDAMICINA 50 MG 100 TABLETAS,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51102600,H87,7,,0.05,,,,944.000000,UNIDAD,0.045530,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,CRONVAL HD 1.25 MG 60 TAB,ALPCCRON125,ALPHA,UNIDAD,Si,,CRONVAL HD 1.25 MG 60 TAB,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121605,H87,7,,0.05,,,,685.000000,UNIDAD,330.073074,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,CRONVAL HD 5 MG,ALPCCRON5,ALPHA,UNIDAD,Si,,CRONVAL HD 5 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121605,H87,7,,0.05,,,,"1,470.000000",UNIDAD,726.194485,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,CYCLOSUPRIM 10% ORAL,ALPCICLO105,ALPHA,UNIDAD,Si,,CYCLOSUPRIM 10% ORAL,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,"1,998.000000",UNIDAD,"1,332.450000",,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,CYCLOSUPRIM 5% ORAL,ALPCICLOS5,ALPHA,UNIDAD,Si,,CYCLOSUPRIM 5% ORAL,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,"1,312.000000",UNIDAD,885.600000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,CYCLOSUPRIM OFTÁLMICO (CICLOSPORINA 2%),ALPCYCOF20,ALPHA,UNIDAD,Si,,CYCLOSUPRIM OFTÁLMICO (CICLOSPORINA 2%),0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,485.000000,UNIDAD,308.944106,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,DOXICICLINA 100 MG,ALPDOXI100,ALPHA,UNIDAD,Si,,DOXICICLINA 100 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51102600,H87,7,,0.05,,,,976.000000,UNIDAD,543.020000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,DOXICICLINA 150 MG,ALPDOXI150,ALPHA,UNIDAD,Si,,DOXICICLINA 150 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51102600,H87,7,,0.05,,,,"1,360.000000",UNIDAD,865.080000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,DOXICICLINA 50 MG,ALPDOXI50,ALPHA,UNIDAD,Si,,DOXICICLINA 50 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51102600,H87,7,,0.05,,,,703.000000,UNIDAD,390.100000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,EMETRON (ONDANSETRON) 2MG/ML,ALPEM2MG/ML,ALPHA,UNIDAD,Si,,EMETRON (ONDANSETRON) 2MG/ML,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,697.000000,UNIDAD,383.593009,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,EUGASTRIL,ALPHEUGAS,ALPHA,UNIDAD,Si,,EUGASTRIL,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51171909,H87,7,,0.05,,,,485.000000,UNIDAD,272.160000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,HEMOSYLAT,ALPHEM,ALPHA,UNIDAD,Si,,HEMOSYLAT,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51131805,H87,7,,0.05,,,,450.000000,UNIDAD,259.906170,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,LEIDOFS 100 MG 90 TAB (RECETA CUANTIF),ALPLEI100,ALPHA,UNIDAD,Si,,LEIDOFS 100 MG 90 TAB (RECETA CUANTIF),0.000,0.000,,,Lote,si,30,15,1,Almacenable,51141517,H87,7,,0.05,,,,550.000000,UNIDAD,323.951127,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,LEIDOFS 400 MG 90 TAB (RECETA CUANTIF),ALPLEI400,ALPHA,UNIDAD,Si,,LEIDOFS 400 MG 90 TAB (RECETA CUANTIF),0.000,0.000,,,Lote,si,30,15,1,Almacenable,51141517,H87,7,,0.05,,,,"1,498.000000",UNIDAD,846.855235,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,"LEIDOFS 50 MG SOLUCION
 CANINO
",ALPLEI50CAN,ALPHA,UNIDAD,Si,,"LEIDOFS 50 MG SOLUCION
 CANINO
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,51141517,H87,7,,0.05,,,,255.000000,UNIDAD,163.459773,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,"LEIDOFS 50 MG SOLUCION
 FELINO 
",ALPLEI50FEL,ALPHA,UNIDAD,Si,,"LEIDOFS 50 MG SOLUCION
 FELINO 
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,51141517,H87,7,,0.05,,,,255.000000,UNIDAD,158.009226,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,MELOXICAM 1 MG,ALPMEL1,ALPHA,UNIDAD,Si,,MELOXICAM 1 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51142140,H87,7,,0.05,,,,988.000000,UNIDAD,611.035000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,MELOXICAM 2 MG,ALPMEL2,ALPHA,UNIDAD,Si,,MELOXICAM 2 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51142140,H87,7,,0.05,,,,"1,172.000000",UNIDAD,0.008182,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,MELOXICAM 4 MG,ALPMEL4,ALPHA,UNIDAD,Si,,MELOXICAM 4 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51142140,H87,7,,0.05,,,,"1,485.000000",UNIDAD,696.798229,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,"SERANTA 40 MG 30 TABS
",ALPSER40,ALPHA,UNIDAD,Si,,"SERANTA 40 MG 30 TABS
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,51141517,H87,7,,0.05,,,,328.000000,UNIDAD,203.828571,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,"SERANTA 80 MG 30 TABS
",ALPSER80,ALPHA,UNIDAD,Si,,"SERANTA 80 MG 30 TABS
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,51141517,H87,7,,0.05,,,,476.000000,UNIDAD,292.683333,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,"SILDAN HP 10
",ALPSIL10,ALPHA,UNIDAD,Si,,"SILDAN HP 10
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,525.000000,UNIDAD,271.446022,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,"SILDAN HP 20
",ALPSIL20,ALPHA,UNIDAD,Si,,"SILDAN HP 20
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,820.000000,UNIDAD,486.985259,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,"SILDAN HP SUSPENSION 50 ML
",ALPSILSUSP,ALPHA,UNIDAD,Si,,"SILDAN HP SUSPENSION 50 ML
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,338.000000,UNIDAD,112.675204,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,"TEDIUR 24 
",ALPTED24,ALPHA,UNIDAD,Si,,"TEDIUR 24 
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121605,H87,7,,0.05,,,,259.000000,UNIDAD,7.073182,,,0,,,ALPHACHEM,,,MEDICAMENTOS,SIN CONTROL,ALPHACHEM
,TEDIUR 24 SOLUCION 30 ML,ALPTED24SOL,ALPHA,UNIDAD,Si,,TEDIUR 24 SOLUCION 30 ML,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121605,H87,7,,0.05,,,,192.000000,UNIDAD,78.000000,,,0,,,,,,MEDICAMENTOS,SIN CONTROL,
,TETRACEF 100MG,ALPTETRA100,ALPHA,UNIDAD,Si,,TETRACEF 100MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,565.000000,UNIDAD,267.750000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,TETRACEF 250 MG,ALPTETRA250,ALPHA,UNIDAD,Si,,TETRACEF 250 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,678.000000,UNIDAD,332.010000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,TETRACEF 500 MG,ALPTETRA500,ALPHA,UNIDAD,Si,,TETRACEF 500 MG,0.000,0.000,,,Lote,si,30,15,1,Almacenable,10111305,H87,7,,0.05,,,,678.000000,UNIDAD,332.010000,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 2,ALPHACHEM
,TRIOXIL 200 MCG (RECETA CUANTIFICADA),ALPTRI200,ALPHA,UNIDAD,Si,,TRIOXIL 200 MCG (RECETA CUANTIFICADA),0.000,0.000,,,Lote,si,30,15,1,Almacenable,51181608,H87,7,,0.05,,,,296.000000,UNIDAD,180.796704,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,TRIOXIL 500 MCG (RECETA CUANTIFICADA),ALPTRI500,ALPHA,UNIDAD,Si,,TRIOXIL 500 MCG (RECETA CUANTIFICADA),0.000,0.000,,,Lote,si,30,15,1,Almacenable,51181608,H87,7,,0.05,,,,355.000000,UNIDAD,229.338547,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,TRIOXIL 800 MCG (RECETA CUANTIFICADA),ALPTRI800,ALPHA,UNIDAD,Si,,TRIOXIL 800 MCG (RECETA CUANTIFICADA),0.000,0.000,,,Lote,si,30,15,1,Almacenable,51181608,H87,7,,0.05,,,,418.000000,UNIDAD,247.854798,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,TRIOXIL SOLUCION 1MG 60ML (RECETA CUANTI,ALPTRISOL,ALPHA,UNIDAD,Si,,TRIOXIL SOLUCION 1MG 60ML (RECETA CUANTI,0.000,0.000,,,Lote,si,30,15,1,Almacenable,51181608,H87,7,,0.05,,,,415.000000,UNIDAD,240.079167,,,0,,,ALPHACHEM,,,MEDICAMENTOS,GRUPO 1,ALPHACHEM
,"PASTO TIMOTHY GOLD AM PET 680GR
",AMP00040,AMP,UNIDAD,Si,851100000403,"PASTO TIMOTHY GOLD AM PET 680GR
",0.000,0.000,,,Lote,si,30,15,1,Almacenable,10122104,H87,7,,0.05,,,,222.413800,UNIDAD,113.701818,,,16,,,AMERICAN PET,,,ALIMENTOS,SIN CONTROL,AMERICAN PET
,CUCHILLA 10 (1.5mm) ANDIS,ANDIS102,AND,UNIDAD,Si,040102640711,CUCHILLA 10 (1.5mm) ANDIS,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,21101909,H87,7,,0.05,,,,"1,409.480000",UNIDAD,523.546000,,,16,,,ANDIS,,,MEDICAMENTOS,SIN CONTROL,ANDIS
,CUCHILLA 40SS (0.25MM),ANDIS40SS,AND,UNIDAD,Si,040102640841,CUCHILLA 40SS (0.25MM),0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,21101909,H87,7,,0.05,,,,0.000000,UNIDAD,756.009000,,,16,,,ANDIS,,,MEDICAMENTOS,SIN CONTROL,ANDIS
,CUCHILLA 7FC (3.2MM),ANDIS7FC,AND,UNIDAD,Si,040102641213,CUCHILLA 7FC (3.2MM),0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,21101909,H87,7,,0.05,,,,0.000000,UNIDAD,606.061667,,,16,,,ANDIS,,,MEDICAMENTOS,SIN CONTROL,ANDIS
,CUCHILLA CORTADORA CERAMICA COARSE,ANDISCERAMICA,AND,UNIDAD,Si,040102644405,CUCHILLA CORTADORA CERAMICA COARSE,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,21101909,H87,7,,0.05,,,,362.068965,UNIDAD,324.585000,,,16,,,ANDIS,,,MEDICAMENTOS,SIN CONTROL,ANDIS
,ENFRIADOR 5 EN 1 COOL CARE ANDIS,ANDISENFR5/1,AND,UNIDAD,Si,,ENFRIADOR 5 EN 1 COOL CARE ANDIS,0.000,0.000,,,Sin seguimiento,No,0,0,0,Almacenable,21101909,H87,7,,0.05,,,,204.310300,UNIDAD,183.177000,,,16,,,ANDIS,,,MEDICAMENTOS,SIN CONTROL,ANDIS
,HEMOPLEX 100ML,ANDHEMO100,ANDO,UNIDAD,Si,,HEMOPLEX 100ML,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121602,H87,7,,0.05,,,,299.000000,UNIDAD,164.450000,,,0,,,ANDOCI,,,MEDICAMENTOS,SIN CONTROL,ANDOCI
,HEMOPLEX 50ML,ANDHEMO50,ANDO,UNIDAD,Si,,HEMOPLEX 50ML,0.000,0.000,,,Lote,si,30,15,1,Almacenable,42121602,H87,7,,0.05,,,,206.000000,UNIDAD,174.850000,,,0,,,ANDOCI,,,MEDICAMENTOS,SIN CONTROL,ANDOCI
