Descripción,Linea de producto,Clave de producto,Precio Compra promedio,Unidad de medida,Clave de producto SAT,Código de barras,Descripción larga,Descripción para proveedores,Peso,Volumen,Es un gasto indirecto,Seguimiento ,Tipo ,Punto de reorden,Stock optimo,Multiple,Almacen de materia prima ,¿Se debe de revisar antes de entrar a almacen?
Bolígrafos,Tinta negra,P001,$7.00,Unidad,60121524,,para escritura,,,,Si,,Servicio,180,,,,
lápices,No. 2,P002,$5.00,Unidad,44121706,,para escritura,,,,Si,,Servicio,180,,,,
gomas,blanca,P003,$7.00,Unidad,13101505,,blaca,,,,Si,,Servicio,180,,,,
Engrapadora,Estandar oficina,P004,$48.00,Unidad,44121615,,Estandar oficina,,,,Si,,Servicio,365,,,,
Grapas,para engrapadora,P005,$32.00,Unidad,31162404,,para engrapadora,,,,Si,,Servicio,180,,,,
Tinta azul,HP 954,P006,$509.00,Unidad,44103105,,HP 954,,,,Si,,Servicio,90,,,,
Tinta amarilla,HP 954,P007,$509.00,Unidad,44103105,,HP 954,,,,Si,,Servicio,90,,,,
Tinta magenta,HP 954,P008,$509.00,Unidad,44103105,,HP 954,,,,Si,,Servicio,90,,,,
Tinta negra,HP 954,P009,$719.00,Unidad,44103105,,HP 954,,,,Si,,Servicio,90,,,,
hojas carta,OMX TC 5000H,P010,$95.00,Unidad,14111507,,OMX TC 5000H,,,,Si,,Servicio,365,,,,
hojas oficio,OMX TC 5000H,P011,$100.00,Unidad,14111507,,OMX TC 5000H,,,,Si,,Servicio,365,,,,
hojas doblecarta,OMX TC 5000H,P012,$110.00,Unidad,14111507,,OMX TC 5000H,,,,Si,,Servicio,365,,,,
tijeras,,P013,$80.00,Unidad,42142007,,,,,,Si,,Servicio,365,,,,
prit,làpiz adhesivo,P014,$18.00,Unidad,31201603,,làpiz adhesivo,,,,Si,,Servicio,180,,,,
cintas adhesivas,Para empaque,P015,$330.00,Paquete,31201500,,Para empaque,,,,Si,,Servicio,60,,,,
marcadores,office,P016,$39.00,Unidad,44121708,,office,,,,Si,,Servicio,60,,,,
marcadores de pizarrón,magistral,P017,$32.00,Unidad,44121708,,magistral,,,,Si,,Servicio,60,,,,
perforadora,maped,P018,$170.00,Unidad,27111516,,maped,,,,Si,,Servicio,365,,,,
recopiladores,Office max,P019,$110.00,Unidad,42203600,,Office max,,,,Si,,Servicio,180,,,,
libretas,Argollas,P020,$90.00,Unidad,14111526,,Argollas,,,,Si,,Servicio,180,,,,
Sobres carta,color manila,P021,$151.00,Paquete,44121503,,color manila,,,,Si,,Servicio,365,,,,
sobres nómina,color manila,P022,$141.00,Paquete,44121503,,color manila,,,,Si,,Servicio,365,,,,
Folders Carta,color manila,P023,$178.00,Paquete,44122011,,color manila,,,,Si,,Servicio,365,,,,
Monitores,Quian,C001,"$2,000.00",Unidad,46171612,,Mónitor de computadora plano de 24 pulgadas,,,,,,,,,,,
CPU,Ensamblado,C002,"$4,300.00",Unidad,43202200,,Equipo de cómputo ensamblado,,,,,,,,,,,
Teclado,gigabyte,C003,"$1,250.00",Unidad,43202205,,Telcado Español para computadora,,,,,,,,,,,
Mouse,gigabyte,C004,$150.00,Unidad,43202215,,Mouse de computarora alámbrico,,,,,,,,,,,
Software,,C005,"$4,800.00",Unidad,43232300,,Tarjetas de video ,,,,,,,,,,,
Agua de Puebla,Agua oficina,S001,$657.00,Servicio,41104213,,Agua oficina,,,,No,,,,,,,
Asesorias/Diagnóstico,,S002,"$2,000.00",Servicio,84121700,,,,,,No,,,,,,,
Aut Ser Medico Yamil,Medicamentos,S003,"$6,949.68",Servicio,51102300,,Medicamentos,,,,No,,,,,,,
Auto Yamil,Servicio y pagos,S004,"$8,250.00",Servicio,25191838,,Servicio y pagos,,,,No,,,,,,,
Autolineas,Paquetería,S005,"$5,613.30",Servicio,78102204,,Paquetería,,,,No,,,,,,,
C.F.E.,Luz,S006,"$2,268.00",Cuota,26131500,,Luz,,,,No,,,,,,,
Comisión factura,Servicio y pagos,S007,"$10,655.92",Servicio,80141601,,Servicio y pagos,,,,No,,,,,,,
Comisiones ventas,Vendedores,S008,"$13,846.37",Servicio,80141600,,Vendedores,,,,No,,,,,,,
Contador Rogelio,Contabilidad,S009,"$3,600.00",Servicio,84111503,,Contabilidad,,,,No,,,,,,,
DropBox,Nube,S010,"$2,337.88",Servicio,43222641,,,,,,No,,,,,,,
Fedex,Paquetería,S011,$381.00,Servicio,78102204,,Paquetería,,,,No,,,,,,,
Fletes Puebla,Paquetería,S012,"$1,092.00",Servicio,78111804,,Paquetería,,,,No,,,,,,,
Fletes CDMX,Paquetería,S013,"$3,000.00",Servicio,78111804,,Paquetería,,,,No,,,,,,,
Gasolina Oficina,Prestación,S014,"$4,400.00",Unidad,15101506,,Prestación,,,,No,,,,,,,
Gasolina Yamil,Gastos Representación,S015,"$5,500.00",Unidad,15101506,,Gastos Representación,,,,No,,,,,,,
Impuestos,Fiscales,S016,"$34,271.00",Impuestos,93161501,,Fiscales,,,,No,,,,,,,
"Imss,Rcv,Infonavit ",Fiscales,S017,"$7,877.24",Impuestos,93161604,,Fiscales,,,,No,,,,,,,
Nómina,,S018,"$66,752.43",Servicio,84111505,,,,,,No,,,,,,,
Nómina fiscal,Fiscales,S019,"$17,937.46",Servicio,84111505,,Fiscales,,,,No,,,,,,,
Oficina Mexico,Fiscales,S020,$630.00,Servicio,80131502,,Fiscales,,,,No,,,,,,,
Paquetexpress,Paquetería,S021,"$12,895.39",Servicio,78102204,,Paquetería,,,,No,,,,,,,
Comision Tarjeta de Crédito,Ventas,S022,"$1,226.86",Servicio,80141601,,Ventas,,,,No,,,,,,,
Publicidad Redes,Ventas,S023,$420.22,Servicio,43222641,,Ventas,,,,No,,,,,,,
Renta Oficina,Ventas,S024,"$14,150.93",Servicio,80131502,,Ventas,,,,No,,,,,,,
TELCEL Empresa,Ventas,S025,"$1,415.00",Servicio,43191501,,Ventas,,,,No,,,,,,,
TELCEL Yamil,Gastos Representación,S026,"$1,790.00",Servicio,43191501,,Gastos Representación,,,,No,,,,,,,
TotalPlay,Servicio y pagos,S027,"$1,501.00",Servicio,43232705,,Servicio y pagos,,,,No,,,,,,,
Televía,Transporte,S028,"$3,240.00",Cuota,95111602,,Transporte,,,,No,,,,,,,
Über,Transporte,S029,$70.00,Servicio,78111804,,Transporte,,,,No,,,,,,,
Viáticos,Gastos Representación,S030,"$16,354.00",Unidad,80101505,,Gastos Representación,,,,No,,,,,,,
Renders y Animación,Proyectos,S031,$516.00,Servicio,56121805,,Proyectos,,,,No,,,,,,,
Eventos,Convivios y publicidad,S031,"$5,000.00",,80141902,,Publicidad,,,,si,,,,,,,
