Sucursal,Nombre del Producto,Clave de producto,Categoría ( linea) de producto,Precio Base de Venta,Unidad de medida,¿ Se vende en el punto de venta?,Clave de producto SAT,Código de barras,Descripción larga,Peso,Volumen,Días para entregarlo al cliente,método de abastecimiento,Precio promedio de compra,¿ En qué almacen se guarda el producto?,Seguimiento (Sin seguimiento/Lote/Serie,¿ Tiene fecha de caducidad?,Días antes de caducar,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Stock Optimo,Punto de reorden,Multiple de re-orden,Clave sat,Unidad de sat,1,2,3,4,5
,CANDIL,2829/3 NS,2G,,Pza,Si,,,CANDIL,,,,lo compramos,$85.39,2G,,No,,,,Almacenable,,,,,,,,,,
,CANDIL,2829/5 NS,2G,,Pza,Si,,,CANDIL,,,,lo compramos,$133.10,2G,,No,,,,Almacenable,,,,,,,,,,
,CANDIL,2829/9 NS,2G,,Pza,Si,,,CANDIL,,,,lo compramos,$200.83,2G,,No,,,,Almacenable,,,,,,,,,,
,MESA,1260 MA,2G,,Pza,Si,,,MESA,,,,lo compramos,$19.40,2G,,No,,,,Almacenable,,,,,,,,,,
,MESA,1260 MS,2G,,Pza,Si,,,MESA,,,,lo compramos,$19.40,2G,,No,,,,Almacenable,,,,,,,,,,
,MESA,2313 L/M,2G,,Pza,Si,,,MESA,,,,lo compramos,$12.73,2G,,No,,,,Almacenable,,,,,,,,,,
,MESA,2309 L/M,2G,,Pza,Si,,,MESA,,,,lo compramos,$16.98,2G,,No,,,,Almacenable,,,,,,,,,,
,MESA,2330 L/M,2G,,Pza,Si,,,MESA,,,,lo compramos,$33.17,2G,,No,,,,Almacenable,,,,,,,,,,
,ESPEJO-LED,ELD-040,2G,,Pza,Si,,,ESPEJO-LED,,,,lo compramos,$99.80,2G,,No,,,,Almacenable,,,,,,,,,,
,ESPEJO-LED,ELD-050,2G,,Pza,Si,,,ESPEJO-LED,,,,lo compramos,$114.24,2G,,No,,,,Almacenable,,,,,,,,,,
,ESPEJO-LED,ELD-060,2G,,Pza,Si,,,ESPEJO-LED,,,,lo compramos,$111.56,2G,,No,,,,Almacenable,,,,,,,,,,
,ESPEJO-LED,ELD-070,2G,,Pza,Si,,,ESPEJO-LED,,,,lo compramos,$105.86,2G,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L46055 OL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$192.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L46608,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$269.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48300,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$47.43,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,L78302,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$60.17,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,L78301,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$35.70,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L40092 C,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$245.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L49030 GL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$217.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L49030 SL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$217.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L49025 GL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$125.65,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L49025 SL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$125.65,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48070 OL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$276.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48070 CH,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$276.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48025 OL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$95.03,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48025 CH,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$95.03,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L44560,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$185.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L44598,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$318.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L42050 N,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$224.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L42880 CH,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$416.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L42880 OL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$416.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L49056,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$248.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L42060,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$346.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,47330,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$262.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,440045,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$115.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L40091 N,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$346.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L40091 C,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$346.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L46050 FR,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$209.65,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L46050 CL,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$209.65,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L42320,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$349.76,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,L42301,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$127.75,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48200,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$164.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L47460,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$177.80,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L47020,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$139.13,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,440403,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$183.37,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,440401,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$79.70,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,740401,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$61.29,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,740402,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$126.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L49070,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$227.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L47080,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$346.85,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L47260,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$349.13,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L47380,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$682.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,441051,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$48.90,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,701051,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$48.83,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,701052,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$92.16,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,701041,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$51.42,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,701042,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$92.72,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,401042 C,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$69.83,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,L72042,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$89.36,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,70101,Stratto,,Pza,Si,,,PARED,,,,lo compramos,$38.40,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,410106,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$199.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L43310 C,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$61.22,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L43310 CO,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$66.05,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,444410,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$98.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L46900 B,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$57.05,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L46900 S,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$62.65,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,440118 OP,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$64.40,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,442018 CO,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$74.20,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,440118 C,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$75.60,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,420501,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$272.30,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,420502,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$465.50,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L41260,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$525.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L41240,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$218.40,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48088 N,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$252.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,L48087 N,Stratto,,Pza,Si,,,COLGANTE,,,,lo compramos,$182.00,Stratto,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL141/1 N,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$21.78,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL141/2 N,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$52.26,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,SPOT,THL141-3 N,Tecno Home,,Pza,Si,,,SPOT,,,,lo compramos,$66.90,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PISO,THL141/P N,Tecno Home,,Pza,Si,,,PISO,,,,lo compramos,$60.30,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL03/2 C,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$44.79,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,CLIP,THL03/CL C,Tecno Home,,Pza,Si,,,CLIP,,,,lo compramos,$26.80,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,THL610/C C,Tecno Home,,Pza,Si,,,COLGANTE,,,,lo compramos,$36.08,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,MESA,THL610/M C,Tecno Home,,Pza,Si,,,MESA,,,,lo compramos,$44.89,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,THL171/3 C,Tecno Home,,Pza,Si,,,COLGANTE,,,,lo compramos,$144.05,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL171/1 C,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$52.16,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,MESA,THL171/M C,Tecno Home,,Pza,Si,,,MESA,,,,lo compramos,$52.93,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PISO,THL171/P C,Tecno Home,,Pza,Si,,,PISO,,,,lo compramos,$99.06,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,THL150/6,Tecno Home,,Pza,Si,,,COLGANTE,,,,lo compramos,$103.85,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL142/1 N,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$21.78,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL142/2 N,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$52.26,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,SPOT,THL142-3 N,Tecno Home,,Pza,Si,,,SPOT,,,,lo compramos,$66.90,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,MESA,THL142/M N,Tecno Home,,Pza,Si,,,MESA,,,,lo compramos,$33.50,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,THL180/8 C,Tecno Home,,Pza,Si,,,COLGANTE,,,,lo compramos,$237.85,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL180/1 C,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$36.62,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PARED,THL180/2 C,Tecno Home,,Pza,Si,,,PARED,,,,lo compramos,$68.11,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,MESA,THL180/M C,Tecno Home,,Pza,Si,,,MESA,,,,lo compramos,$47.87,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,PLAFÓN,THL400/P S,Tecno Home,,Pza,Si,,,PLAFÓN,,,,lo compramos,$96.92,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
,COLGANTE,THL400/5 S,Tecno Home,,Pza,Si,,,COLGANTE,,,,lo compramos,$120.57,Tecno Home,,No,,,,Almacenable,,,,,,,,,,
