TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL 
,MACKEREL & GREENS 92G TREATS,ACANMARCKTRE,ACANA,Unidades,Si,64992713904,MACKEREL & GREENS 92G TREATS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,282.7586,Unidades,164.484,,,16,16,,ACANA,,,ALIMENTOS,
,SILBATO ADIESTRAMIENTO ACME SILENC. 535,ACMESILB535,ACME,Unidades,Si,717668115358,SILBATO ADIESTRAMIENTO ACME SILENC. 535,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,60131105,H87,0,,,0,,,732.7586,Unidades,575.25,,,16,16,,ACME,,,ACCESORIOS,
,SILBATO ACME 50MM PLASTICO NO.660,ACMESILB660,ACME,Unidades,Si,717668116607,SILBATO ACME 50MM PLASTICO NO.660,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,60131105,H87,0,,,0,,,129.3103,Unidades,43.2,,,16,16,,ACME,,,ACCESORIOS,
,MULTI CLICKER,IMPCLICK,ACME,Unidades,Si,886284257602,MULTI CLICKER,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,,H87,0,,,0,,,182.758621,Unidades,0,,,16,16,,,,,,
,COLLAR TUFF LOCK LARGE,IMPCOLLTUFLOCKLA,ACME,Unidades,Si,,COLLAR TUFF LOCK LARGE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,0,,,0,,,0,Unidades,300,,,16,16,,,,,,
,COLLAR TUFF LOCK MEDIUM,IMPCOLLTUFLOCKME,ACME,Unidades,Si,,COLLAR TUFF LOCK MEDIUM,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,0,,,0,,,0,Unidades,250,,,16,16,,,,,,
,COLLAR TUFF LOCK SMALL,IMPCOLLTUFLOCKSM,ACME,Unidades,Si,,COLLAR TUFF LOCK SMALL,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,0,,,0,,,0,Unidades,200,,,16,16,,,,,,
,COLLAR TUFF LOCK EXTRA LARGE,IMPCOLLTUFLOCKXL,ACME,Unidades,Si,,COLLAR TUFF LOCK EXTRA LARGE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,0,,,0,,,0,Unidades,300,,,16,16,,,,,,
,COLLAR TUFF LOCK EXTRA SMALL,IMPCOLLTUFLOCKXS,ACME,Unidades,Si,,COLLAR TUFF LOCK EXTRA SMALL,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,0,,,0,,,0,Unidades,160,,,16,16,,,,,,
,EAR CARE ALOE WIPES,IMPEARCAREAL,ACME,Unidades,Si,,EAR CARE ALOE WIPES,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,,H87,0,,,0,,,0,Unidades,0,,,16,16,,,,,,
,JUST CBD PETS PREMIOS,IMPJUSTCBDPETS,ACME,Unidades,Si,,JUST CBD PETS PREMIOS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,0,,,16,16,,,,,,
,JUST CBD PETS SPRAY,IMPJUSTCBDSPR,ACME,Unidades,Si,,JUST CBD PETS SPRAY,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,0,,,16,16,,,,,,
,KIT DENTAL ADVANCED,IMPKIDDENT,ACME,Unidades,Si,,KIT DENTAL ADVANCED,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,0,,,16,16,,,,,,
,"KIT TUFF LOCK AZUL PECH, CORREA, COLLAR",IMPKITTUFFLOCK,ACME,Unidades,Si,,"KIT TUFF LOCK AZUL PECH, CORREA, COLLAR",0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10131604,H87,0,,,0,,,0,Unidades,1000,,,16,16,,,,,,
,NOSE BALM GRRLPUP,IMPNOSEBALM,ACME,Unidades,Si,,NOSE BALM GRRLPUP,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,0,,,16,16,,,,,,
,PASTILLAS GAS BUSTERS,IMPPASGASBUSTER,ACME,Unidades,Si,,PASTILLAS GAS BUSTERS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,600,,,16,16,,,,,,
,PRE Y PROBIOTIC CFU 90 SOFT,IMPPREYPRO90,ACME,Unidades,Si,,PRE Y PROBIOTIC CFU 90 SOFT,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,0,,,16,16,,,,,,
,TEA TREE Y ALOE WIPES,IMPTEATR,ACME,Unidades,Si,,TEA TREE Y ALOE WIPES,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,0,Unidades,0,,,16,16,,,,,,
,TUFF BALL MINI,IMPTUFFBALLMIN,ACME,Unidades,Si,713080700066,TUFF BALL MINI,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,,H87,0,,,0,,,86.20689,Unidades,0,,,16,16,,,,,,
,"ADVANCE ATOPIC MINI 1.5 KG
",ADVATOP15,ADV,Unidades,Si,8410650221212,"ADVANCE ATOPIC MINI 1.5 KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,409.482759,Unidades,245.781789,,,16,16,,,,,,
,"ADVANCE ATOPIC MEDIUM/MAXI 3 KG
",ADVATOP3,ADV,Unidades,Si,8410650170695,"ADVANCE ATOPIC MEDIUM/MAXI 3 KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,732.758621,Unidades,439.828287,,,16,16,,,,,,
,"ADVANCE DIETS HYPOLLERGENIC 2.5 KG
",ADVHYPO25,ADV,Unidades,Si,8410650152363,"ADVANCE DIETS HYPOLLERGENIC 2.5 KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,857.7586,Unidades,425.317887,,,16,16,,,,,,
,"ADVANCE RENAL GATO 1.5KG
",ADVRENCAT15,ADV,Unidades,Si,8410650152448,"ADVANCE RENAL GATO 1.5KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,500,Unidades,300.12,,,16,16,,,,,,
,"ADVANCE SENSITIVE SALMON Y RICE 3 KG
",ADVSENS3,ADV,Unidades,Si,8410650150710,"ADVANCE SENSITIVE SALMON Y RICE 3 KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,629.3103,Unidades,346.907328,,,16,16,,,,,,
,ADVANCE SENSITIVE SALMON Y RICE MINI 1.5 KG,ADVSENSMIN15,ADV,Unidades,Si,8410650235240,ADVANCE SENSITIVE SALMON Y RICE MINI 1.5 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,340.5172,Unidades,187.710129,,,16,16,,,,,,
,ADVANCE SENSITIVE SALMON Y RICE MINI 3 KG,ADVSENSMINI3,ADV,Unidades,Si,8410650215150,ADVANCE SENSITIVE SALMON Y RICE MINI 3 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121801,H87,0,,,0,,,629.3103,Unidades,409.445043,,,16,16,,,,,,
,ALPO T-BONZ PREMIOS,ALPOPREM,ALIM,Unidades,Si,7501072215963,ALPO T-BONZ PREMIOS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,49101700,H87,0,,,0,,,4.31,Unidades,1.71564,,,16,16,,,,,,
,KABOBS BROCHETAS,BARKEB,ALIM,Unidades,Si,7503012967499,KABOBS BROCHETAS,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10121806,H87,0,,,0,,,8.620689,Paquete de 30,4.345194,,,16,16,,,,,,
,BUSY BEEGIN PREMIOS,BUSYPREM,ALIM,Unidades,Si,7501072212139,BUSY BEEGIN PREMIOS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,49101700,H87,0,,,0,,,43.96551,Unidades,18.53558,,,16,16,,,,,,
,CARNAZA DE COLORES CHICA,CARNCOLOCH,ALIM,Unidades,Si,7503023241656,CARNAZA DE COLORES CHICA,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10121800,H87,0,,,0,,,4.3103,Unidades,0,,,16,16,,GENERICO,,,ALIMENTOS,
,SUPER CRIA MASCOTA PERROS 450 G,CSFSUPCRIPERR4,ALIM,Unidades,Si,7501539815019,SUPER CRIA MASCOTA PERROS 450 G,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121803,H87,0,,,0,,,150,Unidades,143.950123,,,16,16,,,,,ALIMENTOS,
,SUPER CRIA MASCOTA GATOS 450 G,CSFSUPGAT8,ALIM,Unidades,Si,7501539845214,SUPER CRIA MASCOTA GATOS 450 G,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121803,H87,0,,,0,,,275.862069,Unidades,275.86,,,16,16,,,,,ALIMENTOS,
,LECHE EMPERADOR 450 G,NAAEMP,ALIM,Unidades,Si,,LECHE EMPERADOR 450 G,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121803,H87,0,,,0,,,172.4138,Unidades,105.138,,,16,16,,,,,ALIMENTOS,
,PALITOS DE CARNAZA (PZA),PETSELCPALI,ALIM,Unidades,Si,78742268361,PALITOS DE CARNAZA (PZA),0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10121806,H87,0,,,0,,,1.2931,Paquete de 200,0.719761,,,16,16,,GENERICO,,,ALIMENTOS,
,SPORTMIX WHOLESOME WHITE FISH 12 KG,SPORWHO,ALIM,Unidades,Si,,SPORTMIX WHOLESOME WHITE FISH 12 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1040.5172,Unidades,539.285185,,,16,16,,SPORTMIX,,,ALIMENTOS,
,CRONVAL HD 1.25 MG ,ALPCCRON125,ALPHA,Unidades,Si,,CRONVAL HD 1.25 MG 60 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121605,H87,0,,,1,0,,685,Paquete de 60,330.636942,,,0,0,,ALPHACHEM,PIMOBENDAN,Q-7692-135,MEDICAMENTOS,GRUPO 3
,CRONVAL HD 5 MG 60 TAB,ALPCCRON5,ALPHA,Unidades,Si,,CRONVAL HD 5 MG 60 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121605,H87,0,,,0,,,1470,Unidades,746.785269,,,0,0,,ALPHACHEM,PIMOBENDAN,Q-7692-137,MEDICAMENTOS,GRUPO 3
,CINETIC FLEX 3%,ALPCIN,ALPHA,Unidades,Si,,CINETIC FLEX 3%,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121604,H87,0,,,0,,,625,Paquete de 2,354.69,,,0,0,,ALPHACHEM,PENTOSAN POLISULFATO SODICO ,Q-0273-131,MEDICAMENTOS,GRUPO 3
,CINETIC FLEX 6%,ALPCIN6,ALPHA,Unidades,Si,,CINETIC FLEX 6%,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121604,H87,0,,,0,,,2500,Paquete de 2,843.75,,,0,0,,ALPHACHEM,PENTOSAN POLISULFATO SODICO ,Q-7692-132,MEDICAMENTOS,GRUPO 3
,CLINDAMICINA 150 MG ,ALPCLINDA150,ALPHA,Unidades,Si,,CLINDAMICINA 150 MG 100 TABLETAS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,1418,Paquete de 100,Paquete de 106,,,Paquete de 101,Paquete de 101,,ALPHACHEM,CLINDAMICINA,Paquete de 103,MEDICAMENTOS,GRUPO 2
,CLINDAMICINA 50 MG ,ALPCLINDA50,ALPHA,Unidades,Si,,CLINDAMICINA 50 MG 100 TABLETAS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,926,Paquete de 100,0.04553,,,0,0,,ALPHACHEM,CLINDAMICINA,Q-7692-119,MEDICAMENTOS,GRUPO 2
,CYCLOSUPRIM 10% ORAL,ALPCYCLO105,ALPHA,Unidades,Si,,CYCLOSUPRIM 10% ORAL,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,1974,Unidades,1332.45,,,0,0,,ALPHACHEM,CICLOSPORINA,Q-7692-104,MEDICAMENTOS,GRUPO 3
,CYCLOSUPRIM 5% ORAL,ALPCYCLO5,ALPHA,Unidades,Si,,CYCLOSUPRIM 5% ORAL,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,1312,Unidades,850.5,,,0,0,,ALPHACHEM,CICLOSPORINA,Q-7692-108,MEDICAMENTOS,GRUPO 3
,CYCLOSUPRIM OFTÁLMICO (CICLOSPORINA 2%),ALPCYCOF20,ALPHA,Unidades,Si,,CYCLOSUPRIM OFTÁLMICO (CICLOSPORINA 2%),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,478,Unidades,301.395998,,,0,0,,ALPHACHEM,CICLOSPORINA,Q-7692-109,MEDICAMENTOS,GRUPO 3
,DOXICICLINA 100 MG ,ALPDOXI100,ALPHA,Unidades,Si,,DOXICICLINA 100 MG 100 TABLETAS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,958,Paquete de 100,543.02,,,0,0,,ALPHACHEM,DOXICICLINA,Q-7692-117,MEDICAMENTOS,GRUPO 2
,DOXICICLINA 150 MG ,ALPDOXI150,ALPHA,Unidades,Si,,DOXICICLINA 150 MG 100 TABLETAS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,1335,Unidades,756.22,,,0,0,,ALPHACHEM,DOXICICLINA,Q-7692-118,MEDICAMENTOS,GRUPO 2
,DOXICICLINA 50 MG ,ALPDOXI50,ALPHA,Unidades,Si,,DOXICICLINA 50 MG 100 TABLETAS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102600,H87,0,,,0,,,690,Unidades,390.1,,,0,0,,ALPHACHEM,DOXICICLINA,Q-7692-116,MEDICAMENTOS,GRUPO 2
,EMETRON (ONDANSETRON) 2MG/ML,ALPEM2MG/ML,ALPHA,Unidades,Si,,EMETRON (ONDANSETRON) 2MG/ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,697,Paquete de 10,443.390354,,,0,0,,ALPHACHEM,ONDANSETRON,Q-7692-103,MEDICAMENTOS,GRUPO 3
,HEMOSYLAT ,ALPHEM,ALPHA,Unidades,Si,,HEMOSYLAT INY,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51131805,H87,0,,,0,,,410,Paquete de 10,217.54,,,0,0,,ALPHACHEM,ETAMSILATO,Q-7692-122,MEDICAMENTOS,GRUPO 3
,EUGASTRIL ,ALPHEUGAS,ALPHA,Unidades,Si,,EUGASTRIL INY,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51171909,H87,0,,,0,,,450,Paquete de 5,272.16,,,0,0,,ALPHACHEM,OMEPRAZOL,Q-7692-105,MEDICAMENTOS,GRUPO 3
,LEIDOFS 100 MG (GRUPO 1),ALPLEI100,ALPHA,Unidades,Si,,LEIDOFS 100 MG 90 TAB (GRUPO 1),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51141517,H87,0,,,0,,,524,Paquete de 90,247.072622,,,0,0,,ALPHACHEM,GABAPENTINA,Q-7692-126,MEDICAMENTOS,GRUPO 1
,LEIDOFS 400 MG  (GRUPO 1),ALPLEI400,ALPHA,Unidades,Si,,LEIDOFS 400 MG 90 TAB (GRUPO 1),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51141517,H87,0,,,0,,,1468,Unidades,715.607318,,,0,0,,ALPHACHEM,GABAPENTINA,Q-7692-125,MEDICAMENTOS,GRUPO 1
,"LEIDOFS 50 MG CANINO SOLUCION
 (GRUPO 1)
",ALPLEI50CAN,ALPHA,Unidades,Si,,"LEIDOFS 50 MG CANINO SOLUCION
 (GRUPO 1)
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,230,Unidades,155.25,,,0,0,,ALPHACHEM,GABAPENTINA,Q-7692-205,MEDICAMENTOS,GRUPO 1
,"LEIDOFS 50 MG FELINO SOLUCION
 (GRUPO 1)
",ALPLEI50FEL,ALPHA,Unidades,Si,,"LEIDOFS 50 MG FELINO SOLUCION
 (GRUPO 1)
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51141517,H87,0,,,0,,,230,Unidades,107.217504,,,0,0,,ALPHACHEM,GABAPENTINA,Q-7692-205,MEDICAMENTOS,GRUPO 1
,MELOXICAM 1 MG,ALPMEL1,ALPHA,Unidades,Si,,MELOXICAM 1 MG 100 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142140,H87,0,,,0,,,969,Unidades,594.16,,,0,0,,ALPHACHEM,MELOXICAM,Q-7692-113,MEDICAMENTOS,GRUPO 2
,MELOXICAM 2 MG,ALPMEL2,ALPHA,Unidades,Si,,MELOXICAM 2 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142140,H87,0,,,0,,,1150,Paquete de 100,413.263775,,,0,0,,ALPHACHEM,MELOXICAM,Q-7692-114,MEDICAMENTOS,GRUPO 2
,MELOXICAM 4 MG,ALPMEL4,ALPHA,Unidades,Si,,MELOXICAM 4 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51142140,H87,0,,,0,,,1458,Unidades,696.798229,,,0,0,,ALPHACHEM,MELOXICAM,Q-7692-115,MEDICAMENTOS,GRUPO 2
,"SILDAN HP 10
",ALPSIL10,ALPHA,Unidades,Si,,"SILDAN HP 10
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,490,Paquete de 60,236.226432,,,0,0,,ALPHACHEM,SILDENAFIL,Q-7692-201,MEDICAMENTOS,GRUPO 3
,"SILDAN HP 20
",ALPSIL20,ALPHA,Unidades,Si,,"SILDAN HP 20
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,780,Paquete de 60,430.365439,,,0,0,,ALPHACHEM,SILDENAFIL,Q-7692-202,MEDICAMENTOS,GRUPO 3
,"SILDAN HP SUSPENSION 50 ML
",ALPSILSUSP,ALPHA,Unidades,Si,,"SILDAN HP SUSPENSION 50 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,308,Unidades,127.84772,,,0,0,,ALPHACHEM,SILDENAFIL,Q-7692-207,MEDICAMENTOS,GRUPO 3
,"TEDIUR 24 
",ALPTED24,ALPHA,Unidades,Si,,"TEDIUR 24 
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121600,H87,0,,,0,,,259,Unidades,112.686935,,,0,0,,ALPHACHEM,TORSEMIDA,Q-7692-128,MEDICAMENTOS,GRUPO 3
,TETRACEF 100MG,ALPTETRA100,ALPHA,Unidades,Si,,TETRACEF 100MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,538,Unidades,267.75,,,0,0,,ALPHACHEM,CEFEPIME,Q-7692-106,MEDICAMENTOS,GRUPO 2
,TETRACEF 250 MG,ALPTETRA250,ALPHA,Unidades,Si,,TETRACEF 250 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,646,Paquete de 8,332.01,,,0,0,,ALPHACHEM,CEFEPIME,Q-7692-106,MEDICAMENTOS,GRUPO 2
,TETRACEF 500 MG,ALPTETRA500,ALPHA,Unidades,Si,,TETRACEF 500 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,646,Paquete de 4,332.01,,,0,0,,ALPHACHEM,CEFEPIME,Q-7692-106,MEDICAMENTOS,GRUPO 2
,TRIOXIL 200 MCG (GRUPO 1),ALPTRI200,ALPHA,Unidades,Si,,TRIOXIL 200 MCG (GRUPO 1),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51181608,H87,0,,,0,,,285,Paquete de 100,142.380914,,,0,0,,ALPHACHEM,LEVOTIROXINA,Q-7692-102,MEDICAMENTOS,GRUPO 1
,TRIOXIL 500 MCG (GRUPO 1),ALPTRI500,ALPHA,Unidades,Si,,TRIOXIL 500 MCG (GRUPO 1),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51181608,H87,0,,,0,,,342,Paquete de 100,171.646563,,,0,0,,ALPHACHEM,LEVOTIROXINA,Q-7692-102,MEDICAMENTOS,GRUPO 1
,TRIOXIL 800 MCG (GRUPO 1),ALPTRI800,ALPHA,Unidades,Si,,TRIOXIL 800 MCG (GRUPO 1),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51181608,H87,0,,,0,,,403,Paquete de 100,195.894533,,,0,0,,ALPHACHEM,LEVOTIROXINA,Q-7692-102,MEDICAMENTOS,GRUPO 1
,TRIOXIL SOLUCION 1MG 60ML (RECETA CUANTI,,ALPHA,,Si,,TRIOXIL SOLUCION 1MG 60ML (RECETA CUANTI,,,,,Serie,Si,,,,Almacenable,51181608,H87,,,,,,,,Unidades,,,,,,,ALPHACHEM,LEVOTIROXINA,Q-7692-102,MEDICAMENTOS,GRUPO 1
,HEMOPLEX 100 ML,ANDHEMO100,ANDO,Unidades,Si,,HEMOPLEX 100ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121602,H87,0,,,0,,,299,Paquete de 100,164.45,,,0,0,,ANDOCI,"HIERRO, COMPLEJO B 12",,MEDICAMENTOS,GRUPO 3
,HEMOPLEX 50 ML,ANDHEMO50,ANDO,Unidades,Si,,HEMOPLEX 50ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,42121602,H87,0,,,0,,,206,Paquete de 50,174.85,,,0,0,,ANDOCI,"HIERRO, COMPLEJO B 12",,MEDICAMENTOS,GRUPO 3
