Tipo de sucursal,Nombre del Producto,Clave de producto,Categoría ( linea) de producto,Precio Base de Venta,Unidad de medida,¿ Se vende en el punto de venta ( en Caja de mostrador)?,Código de barras,Descripción larga,Peso,Volumen,Días para entregarlo al cliente,método de abastecimiento,Costo promedio de compra en la moneda principal,Si tienen varios almacenes en la empresa: ¿ En qué almacen se guarda el producto?,Seguimiento (Sin seguimiento/Lote/Serie,¿ Tiene fecha de caducidad?,Días antes de caducar,Días a Consumir preferentemente,Días para quitar el producto,Tipo,Stock Optimo,Punto de reorden,Multiple de re-orden,Clave de producto SAT,Claves de Unidad SAT,Días de garantía,% Comisión para vendedor,% Comisión para referidos,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuántos puntos cuesta la compra de este producto/ servicio?,Unidad de COMPRA,TIPO DE CONTROL ,Nombre del laboratorio,Nombre de la sustancia activa,TASA IVA,TASA IEPS,NUMERO DE REGISTRO DE SENASICA,PRESENTACION,Factor entre unidades ,DEPARTAMENTO  ,unid conca
,SILBATO ACME 50MM PLASTICO NO.660,ACMESILB660,ACME,129.3103,Unidades,SI ,717668116607,SILBATO ACME 50MM PLASTICO NO.660,0,0,0,lo compramos,43.2,,No,No,0,0,0,Almacenable,0,,,60131105,H87,0,,,,,Unidades,,ACME,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,MULTI CLICKER,IMPCLICK,ACME,182.758621,Unidades,SI ,886284257602,MULTI CLICKER,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR TUFF LOCK LARGE,IMPCOLLTUFLOCKLA,ACME,0,Unidades,SI ,,COLLAR TUFF LOCK LARGE,0,0,0,lo compramos,300,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR TUFF LOCK MEDIUM,IMPCOLLTUFLOCKME,ACME,0,Unidades,SI ,,COLLAR TUFF LOCK MEDIUM,0,0,0,lo compramos,250,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR TUFF LOCK SMALL,IMPCOLLTUFLOCKSM,ACME,0,Unidades,SI ,,COLLAR TUFF LOCK SMALL,0,0,0,lo compramos,200,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR TUFF LOCK EXTRA LARGE,IMPCOLLTUFLOCKXL,ACME,0,Unidades,SI ,,COLLAR TUFF LOCK EXTRA LARGE,0,0,0,lo compramos,300,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR TUFF LOCK EXTRA SMALL,IMPCOLLTUFLOCKXS,ACME,0,Unidades,SI ,,COLLAR TUFF LOCK EXTRA SMALL,0,0,0,lo compramos,160,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,EAR CARE ALOE WIPES,IMPEARCAREAL,ACME,0,Unidades,SI ,,EAR CARE ALOE WIPES,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,JUST CBD PETS PREMIOS,IMPJUSTCBDPETS,ACME,0,Unidades,SI ,,JUST CBD PETS PREMIOS,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,JUST CBD PETS SPRAY,IMPJUSTCBDSPR,ACME,0,Unidades,SI ,,JUST CBD PETS SPRAY,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,KIT DENTAL ADVANCED,IMPKIDDENT,ACME,0,Unidades,SI ,,KIT DENTAL ADVANCED,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"KIT TUFF LOCK AZUL PECH, CORREA, COLLAR",IMPKITTUFFLOCK,ACME,0,Unidades,SI ,,"KIT TUFF LOCK AZUL PECH, CORREA, COLLAR",0,0,0,lo compramos,1000,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,NOSE BALM GRRLPUP,IMPNOSEBALM,ACME,0,Unidades,SI ,,NOSE BALM GRRLPUP,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,PASTILLAS GAS BUSTERS,IMPPASGASBUSTER,ACME,0,Unidades,SI ,,PASTILLAS GAS BUSTERS,0,0,0,lo compramos,600,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,PRE Y PROBIOTIC CFU 90 SOFT,IMPPREYPRO90,ACME,0,Unidades,SI ,,PRE Y PROBIOTIC CFU 90 SOFT,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,TEA TREE Y ALOE WIPES,IMPTEATR,ACME,0,Unidades,SI ,,TEA TREE Y ALOE WIPES,0,0,0,lo compramos,0,,Sí,si,30,15,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,TUFF BALL MINI,IMPTUFFBALLMIN,ACME,86.20689,Unidades,SI ,713080700066,TUFF BALL MINI,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ADVANCE ATOPIC MINI 1.5 KG
",ADVATOP15,ADV,409.482759,Unidades,SI ,8410650221212,"ADVANCE ATOPIC MINI 1.5 KG
",0,0,0,lo compramos,245.781789,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ADVANCE ATOPIC MEDIUM/MAXI 3 KG
",ADVATOP3,ADV,732.758621,Unidades,SI ,8410650170695,"ADVANCE ATOPIC MEDIUM/MAXI 3 KG
",0,0,0,lo compramos,439.828287,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ADVANCE DIETS HYPOLLERGENIC 2.5 KG
",ADVHYPO25,ADV,857.7586,Unidades,SI ,8410650152363,"ADVANCE DIETS HYPOLLERGENIC 2.5 KG
",0,0,0,lo compramos,425.317887,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ADVANCE RENAL GATO 1.5KG
",ADVRENCAT15,ADV,500,Unidades,SI ,8410650152448,"ADVANCE RENAL GATO 1.5KG
",0,0,0,lo compramos,300.12,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,"ADVANCE SENSITIVE SALMON Y RICE 3 KG
",ADVSENS3,ADV,629.3103,Unidades,SI ,8410650150710,"ADVANCE SENSITIVE SALMON Y RICE 3 KG
",0,0,0,lo compramos,346.907328,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,ADVANCE SENSITIVE SALMON Y RICE MINI 1.5 KG,ADVSENSMIN15,ADV,340.5172,Unidades,SI ,8410650235240,ADVANCE SENSITIVE SALMON Y RICE MINI 1.5 KG,0,0,0,lo compramos,187.710129,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,ADVANCE SENSITIVE SALMON Y RICE MINI 3 KG,ADVSENSMINI3,ADV,629.3103,Unidades,SI ,8410650215150,ADVANCE SENSITIVE SALMON Y RICE MINI 3 KG,0,0,0,lo compramos,409.445043,,Sí,si,30,15,0,Almacenable,0,,,10121801,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,ALPO T-BONZ PREMIOS,ALPOPREM,ALIM,4.31,Unidades,SI ,7501072215963,ALPO T-BONZ PREMIOS,0,0,0,lo compramos,1.71564,,Sí,si,30,15,0,Almacenable,0,,,49101700,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,KABOBS BROCHETAS,BARKEB,ALIM,8.620689,Unidades,SI ,7503012967499,KABOBS BROCHETAS,0,0,0,lo compramos,4.345194,,No,No,0,0,0,Almacenable,0,,,10121806,H87,0,,,,,BOLSA,,,,16,,,,30,,BOLSA 30.000_Unidades
,BUSY BEEGIN PREMIOS,BUSYPREM,ALIM,43.96551,Unidades,SI ,7501072212139,BUSY BEEGIN PREMIOS,0,0,0,lo compramos,18.53558,,Sí,si,30,15,0,Almacenable,0,,,49101700,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,CARNAZA DE COLORES CHICA,CARNCOLOCH,ALIM,4.3103,Unidades,SI ,7503023241656,CARNAZA DE COLORES CHICA,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10121800,H87,0,,,,,Unidades,,GENERICO,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,SUPER CRIA MASCOTA PERROS 450 G,CSFSUPCRIPERR4,ALIM,150,Unidades,SI ,7501539815019,SUPER CRIA MASCOTA PERROS 450 G,0,0,0,lo compramos,143.950123,,Sí,si,30,15,0,Almacenable,0,,,10121803,H87,0,,,,,Unidades,,,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,SUPER CRIA MASCOTA GATOS 450 G,CSFSUPGAT8,ALIM,275.862069,Unidades,SI ,7501539845214,SUPER CRIA MASCOTA GATOS 450 G,0,0,0,lo compramos,275.86,,Sí,si,30,15,0,Almacenable,0,,,10121803,H87,0,,,,,Unidades,,,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,LECHE EMPERADOR 450 G,NAAEMP,ALIM,172.4138,Unidades,SI ,,LECHE EMPERADOR 450 G,0,0,0,lo compramos,105.138,,Sí,si,30,15,0,Almacenable,0,,,10121803,H87,0,,,,,Unidades,,,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,PALITOS DE CARNAZA (PZA),PETSELCPALI,ALIM,1.2931,Unidades,SI ,78742268361,PALITOS DE CARNAZA (PZA),0,0,0,lo compramos,0.719761,,No,No,0,0,0,Almacenable,0,,,10121806,H87,0,,,,,PAQUETE,,GENERICO,,16,,,,200,ALIMENTOS,PAQUETE 200.000_Unidades
,SPORTMIX WHOLESOME WHITE FISH 12 KG,SPORWHO,ALIM,1040.5172,Unidades,SI ,,SPORTMIX WHOLESOME WHITE FISH 12 KG,0,0,0,lo compramos,539.285185,,Sí,si,30,15,0,Almacenable,0,,,10121800,H87,0,,,,,Unidades,,SPORTMIX,,16,,,,1,ALIMENTOS,Unidades 1.000_Unidades
,CRONVAL HD 1.25 MG ,ALPCCRON125,ALPHA,685,Unidades,SI ,,CRONVAL HD 1.25 MG 60 TAB,0,0,0,lo compramos,330.636942,,Sí,si,30,15,0,Almacenable,1,0,,42121605,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,PIMOBENDAN,0,,Q-7692-135,60 TABLETAS,60 TABLETAS,MEDICAMENTOS,Unidades 60 TABLETAS_Unidades
,CRONVAL HD 5 MG 60 TAB,ALPCCRON5,ALPHA,1470,Unidades,SI ,,CRONVAL HD 5 MG 60 TAB,0,0,0,lo compramos,746.785269,,Sí,si,30,15,0,Almacenable,0,,,42121605,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,PIMOBENDAN,0,,Q-7692-137,60 TABLETAS ,1,MEDICAMENTOS,Unidades 1.000_Unidades
,CINETIC FLEX 3%,ALPCIN,ALPHA,625,Unidades,SI ,,CINETIC FLEX 3%,0,0,0,lo compramos,354.69,,Sí,si,30,15,0,Almacenable,0,,,42121604,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,PENTOSAN POLISULFATO SODICO ,0,,Q-0273-131,2 VIALES,2,MEDICAMENTOS,Unidades 2_Unidades
,CINETIC FLEX 6%,ALPCIN6,ALPHA,2500,Unidades,SI ,,CINETIC FLEX 6%,0,0,0,lo compramos,843.75,,Sí,si,30,15,0,Almacenable,0,,,42121604,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,PENTOSAN POLISULFATO SODICO ,0,,Q-7692-132,2 VIALES,2,MEDICAMENTOS,Unidades 2_Unidades
,CLINDAMICINA 150 MG ,ALPCLINDA150,ALPHA,1418,Unidades,SI ,,CLINDAMICINA 150 MG 100 TABLETAS,0,0,0,lo compramos,808.65,,Sí,si,30,15,0,Almacenable,0,,,51102600,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,CLINDAMICINA,0,,Q-7692-121,100 TABLETAS,100,MEDICAMENTOS,Unidades 100_Unidades
,CLINDAMICINA 50 MG ,ALPCLINDA50,ALPHA,926,Unidades,SI ,,CLINDAMICINA 50 MG 100 TABLETAS,0,0,0,lo compramos,0.04553,,Sí,si,30,15,0,Almacenable,0,,,51102600,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,CLINDAMICINA,0,,Q-7692-119,100 TABLETAS,100,MEDICAMENTOS,Unidades 100_Unidades
,CYCLOSUPRIM 10% ORAL,ALPCYCLO105,ALPHA,1974,Unidades,SI ,,CYCLOSUPRIM 10% ORAL,0,0,0,lo compramos,1332.45,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,CICLOSPORINA,0,,Q-7692-104,50 ML,1,MEDICAMENTOS,Unidades 1.000_Unidades
,CYCLOSUPRIM 5% ORAL,ALPCYCLO5,ALPHA,1312,Unidades,SI ,,CYCLOSUPRIM 5% ORAL,0,0,0,lo compramos,850.5,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,CICLOSPORINA,0,,Q-7692-108,50 ML,1,MEDICAMENTOS,Unidades 1.000_Unidades
,CYCLOSUPRIM OFTÁLMICO (CICLOSPORINA 2%),ALPCYCOF20,ALPHA,478,Unidades,SI ,,CYCLOSUPRIM OFTÁLMICO (CICLOSPORINA 2%),0,0,0,lo compramos,301.395998,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,CICLOSPORINA,0,,Q-7692-109,10 ML,1,MEDICAMENTOS,Unidades 1.000_Unidades
,DOXICICLINA 100 MG ,ALPDOXI100,ALPHA,958,Unidades,SI ,,DOXICICLINA 100 MG 100 TABLETAS,0,0,0,lo compramos,543.02,,Sí,si,30,15,0,Almacenable,0,,,51102600,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,DOXICICLINA,0,,Q-7692-117,100 TABLETAS,100,MEDICAMENTOS,Unidades 100_Unidades
,DOXICICLINA 150 MG ,ALPDOXI150,ALPHA,1335,Unidades,SI ,,DOXICICLINA 150 MG 100 TABLETAS,0,0,0,lo compramos,756.22,,Sí,si,30,15,0,Almacenable,0,,,51102600,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,DOXICICLINA,0,,Q-7692-118,100 TABLETAS,1,MEDICAMENTOS,Unidades 1.000_Unidades
,DOXICICLINA 50 MG ,ALPDOXI50,ALPHA,690,Unidades,SI ,,DOXICICLINA 50 MG 100 TABLETAS,0,0,0,lo compramos,390.1,,Sí,si,30,15,0,Almacenable,0,,,51102600,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,DOXICICLINA,0,,Q-7692-116,100 TABLETAS,1,MEDICAMENTOS,Unidades 1.000_Unidades
,EMETRON (ONDANSETRON) 2MG/ML,ALPEM2MG/ML,ALPHA,697,Unidades,SI ,,EMETRON (ONDANSETRON) 2MG/ML,0,0,0,lo compramos,443.390354,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,ONDANSETRON,0,,Q-7692-103,10 FRASCOS,10,MEDICAMENTOS,Unidades 10_Unidades
,HEMOSYLAT ,ALPHEM,ALPHA,410,Unidades,SI ,,HEMOSYLAT INY,0,0,0,lo compramos,217.54,,Sí,si,30,15,0,Almacenable,0,,,51131805,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,ETAMSILATO,0,,Q-7692-122,10 FRASCOS,10,MEDICAMENTOS,Unidades 10_Unidades
,EUGASTRIL ,ALPHEUGAS,ALPHA,450,Unidades,SI ,,EUGASTRIL INY,0,0,0,lo compramos,272.16,,Sí,si,30,15,0,Almacenable,0,,,51171909,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,OMEPRAZOL,0,,Q-7692-105,5 FRASCOS,5,MEDICAMENTOS,Unidades 5_Unidades
,LEIDOFS 100 MG (GRUPO 1),ALPLEI100,ALPHA,524,Unidades,SI ,,LEIDOFS 100 MG 90 TAB (GRUPO 1),0,0,0,lo compramos,247.072622,,Sí,si,30,15,0,Almacenable,0,,,51141517,H87,0,,,,,Unidades,GRUPO 1,ALPHACHEM,GABAPENTINA,0,,Q-7692-126,90 TABLETAS ,90,MEDICAMENTOS,Unidades 90_Unidades
,LEIDOFS 400 MG  (GRUPO 1),ALPLEI400,ALPHA,1468,Unidades,SI ,,LEIDOFS 400 MG 90 TAB (GRUPO 1),0,0,0,lo compramos,715.607318,,Sí,si,30,15,0,Almacenable,0,,,51141517,H87,0,,,,,Unidades,GRUPO 1,ALPHACHEM,GABAPENTINA,0,,Q-7692-125,90 TABLETAS,1,MEDICAMENTOS,Unidades 1.000_Unidades
,"LEIDOFS 50 MG CANINO SOLUCION
 (GRUPO 1)
",ALPLEI50CAN,ALPHA,230,Unidades,SI ,,"LEIDOFS 50 MG CANINO SOLUCION
 (GRUPO 1)
",0,0,0,lo compramos,155.25,,Sí,si,30,15,0,Almacenable,0,,,42121600,H87,0,,,,,Unidades,GRUPO 1,ALPHACHEM,GABAPENTINA,0,,Q-7692-205,50 ML,1,MEDICAMENTOS,Unidades 1.000_Unidades
,"LEIDOFS 50 MG FELINO SOLUCION
 (GRUPO 1)
",ALPLEI50FEL,ALPHA,230,Unidades,SI ,,"LEIDOFS 50 MG FELINO SOLUCION
 (GRUPO 1)
",0,0,0,lo compramos,107.217504,,Sí,si,30,15,0,Almacenable,0,,,51141517,H87,0,,,,,Unidades,GRUPO 1,ALPHACHEM,GABAPENTINA,0,,Q-7692-205,50 ML,1,MEDICAMENTOS,Unidades 1.000_Unidades
,MELOXICAM 1 MG,ALPMEL1,ALPHA,969,Unidades,SI ,,MELOXICAM 1 MG 100 TAB,0,0,0,lo compramos,594.16,,Sí,si,30,15,0,Almacenable,0,,,51142140,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,MELOXICAM,0,,Q-7692-113,100 TABLETAS,1,MEDICAMENTOS,Unidades 1.000_Unidades
,MELOXICAM 2 MG,ALPMEL2,ALPHA,1150,Unidades,SI ,,MELOXICAM 2 MG,0,0,0,lo compramos,413.263775,,Sí,si,30,15,0,Almacenable,0,,,51142140,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,MELOXICAM,0,,Q-7692-114,100 TABLETAS,100,MEDICAMENTOS,Unidades 100_Unidades
,MELOXICAM 4 MG,ALPMEL4,ALPHA,1458,Unidades,SI ,,MELOXICAM 4 MG,0,0,0,lo compramos,696.798229,,Sí,si,30,15,0,Almacenable,0,,,51142140,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,MELOXICAM,0,,Q-7692-115,100 TABLETAS ,1,MEDICAMENTOS,Unidades 1.000_Unidades
,"SILDAN HP 10
",ALPSIL10,ALPHA,490,Unidades,SI ,,"SILDAN HP 10
",0,0,0,lo compramos,236.226432,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,SILDENAFIL,0,,Q-7692-201,60 TABLETAS,60,MEDICAMENTOS,Unidades 60_Unidades
,"SILDAN HP 20
",ALPSIL20,ALPHA,780,Unidades,SI ,,"SILDAN HP 20
",0,0,0,lo compramos,430.365439,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,SILDENAFIL,0,,Q-7692-202,60 TABLETAS,60,MEDICAMENTOS,Unidades 60_Unidades
,"SILDAN HP SUSPENSION 50 ML
",ALPSILSUSP,ALPHA,308,Unidades,SI ,,"SILDAN HP SUSPENSION 50 ML
",0,0,0,lo compramos,127.84772,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,SILDENAFIL,0,,Q-7692-207,50 ML ,1,MEDICAMENTOS,Unidades 1.000_Unidades
,"TEDIUR 24 
",ALPTED24,ALPHA,259,Unidades,SI ,,"TEDIUR 24 
",0,0,0,lo compramos,112.686935,,Sí,si,30,15,0,Almacenable,0,,,42121600,H87,0,,,,,Unidades,GRUPO 3,ALPHACHEM,TORSEMIDA,0,,Q-7692-128,30 TABLETAS,1,MEDICAMENTOS,Unidades 1.000_Unidades
,TETRACEF 100MG,ALPTETRA100,ALPHA,538,Unidades,SI ,,TETRACEF 100MG,0,0,0,lo compramos,267.75,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,CEFEPIME,0,,Q-7692-106,10 FRASCOS,1,MEDICAMENTOS,Unidades 1.000_Unidades
,TETRACEF 250 MG,ALPTETRA250,ALPHA,646,Unidades,SI ,,TETRACEF 250 MG,0,0,0,lo compramos,332.01,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,CEFEPIME,0,,Q-7692-106,8 FRASCOS ,8 FRASCOS,MEDICAMENTOS,Unidades 8 FRASCOS_Unidades
,TETRACEF 500 MG,ALPTETRA500,ALPHA,646,Unidades,SI ,,TETRACEF 500 MG,0,0,0,lo compramos,332.01,,Sí,si,30,15,0,Almacenable,0,,,10111305,H87,0,,,,,Unidades,GRUPO 2,ALPHACHEM,CEFEPIME,0,,Q-7692-106,4 FRASCOS,4 FRASCOS ,MEDICAMENTOS,Unidades 4 FRASCOS _Unidades
